State,District,Area Name,Birth place,Place of enumerationTotalPersons,Total migrantsPersons,%Inbound_Migration
10,216,Muzaffarpur,Total Population,4801062,1326190,27.62285
10,217,Gopalganj,Total Population,2562012,693775,27.0793
10,218,Siwan,Total Population,3330464,853521,25.62769
10,219,Saran,Total Population,3951862,1038596,26.28118
10,220,Vaishali,Total Population,3495021,939702,26.88688
10,221,Samastipur,Total Population,4261566,1102714,25.87579
10,222,Begusarai,Total Population,2970541,834026,28.07657
10,223,Khagaria,Total Population,1666886,426316,25.57559
10,224,Bhagalpur,Total Population,3037766,844146,27.78838
10,225,Banka,Total Population,2034763,542079,26.64089
10,226,Munger,Total Population,1367765,370054,27.05538
10,227,Lakhisarai,Total Population,1000912,264355,26.41141
10,228,Sheikhpura,Total Population,636342,172236,27.06658
10,229,Nalanda,Total Population,2877653,811986,28.21695
10,230,Patna,Total Population,5838465,1936192,33.16269
10,231,Bhojpur,Total Population,2728407,780870,28.62
10,232,Buxar,Total Population,1706352,465802,27.29812
10,233,Kaimur (Bhabua),Total Population,1626384,445699,27.40429
10,234,Rohtas,Total Population,2959918,862875,29.15199
10,235,Aurangabad,Total Population,2540073,736249,28.98535
10,236,Gaya,Total Population,4391418,1186336,27.01487
10,237,Nawada,Total Population,2219146,555514,25.03278
10,238,Jamui,Total Population,1760405,427378,24.27725
10,239,Jehanabad,Total Population,1125313,284445,25.27697
10,240,Arwal,Total Population,700843,172453,24.60651
11,241,North  District,Total Population,43709,15373,35.17125
11,242,West District,Total Population,136435,35800,26.2396
11,243,South District,Total Population,146850,50948,34.69391
11,244,East District,Total Population,283583,144928,51.10603
12,245,Tawang,Total Population,49977,20168,40.35456
12,246,West Kameng,Total Population,83947,43845,52.22938
12,247,East Kameng,Total Population,78690,36127,45.91054
12,248,Papum Pare,Total Population,176573,117903,66.77295
12,249,Upper Subansiri,Total Population,83448,33341,39.95422
12,250,West Siang,Total Population,112274,53055,47.25493
12,251,East Siang,Total Population,99214,40015,40.33201
12,252,Upper Siang,Total Population,35320,12813,36.2769
12,253,Changlang,Total Population,148226,58512,39.47486
12,254,Tirap,Total Population,111975,35950,32.10538
12,255,Lower Subansiri,Total Population,83030,35109,42.28472
12,256,Kurung Kumey,Total Population,92076,30818,33.47018
12,257,Dibang Valley,Total Population,8004,4982,62.24388
12,258,Lower Dibang Valley,Total Population,54080,28830,53.30991
12,259,Lohit,Total Population,145726,69864,47.94203
12,260,Anjaw,Total Population,21167,9499,44.87646
13,261,Mon,Total Population,250260,42972,17.17094
13,262,Mokokchung,Total Population,194622,48282,24.80809
13,263,Zunheboto,Total Population,140757,33150,23.55123
13,264,Wokha,Total Population,166343,34512,20.74749
13,265,Dimapur,Total Population,378811,200178,52.84377
13,266,Phek,Total Population,163418,28078,17.18171
13,267,Tuensang,Total Population,196596,30721,15.62646
13,268,Longleng,Total Population,50484,8827,17.48475
13,269,Kiphire,Total Population,74004,17971,24.28382
13,270,Kohima,Total Population,267988,79904,29.81626
13,271,Peren,Total Population,95219,25023,26.27942
14,272,Senapati,Total Population,479148,52178,10.88975
14,273,Tamenglong,Total Population,140651,35996,25.59242
14,274,Churachandpur,Total Population,274143,130158,47.47814
14,275,Bishnupur,Total Population,237399,40497,17.05862
14,276,Thoubal,Total Population,422168,69253,16.40413
14,277,Imphal West,Total Population,517992,169803,32.78101
14,278,Imphal East,Total Population,456113,116641,25.57283
14,279,Ukhrul,Total Population,183998,42983,23.36058
14,280,Chandel,Total Population,144182,29426,20.40893
15,281,Mamit,Total Population,86364,23274,26.94873
15,282,Kolasib,Total Population,83955,37402,44.55006
15,283,Aizawl,Total Population,400309,184761,46.1546
15,284,Champhai,Total Population,125745,37628,29.92405
15,285,Serchhip,Total Population,64937,15948,24.55919
15,286,Lunglei,Total Population,161428,45523,28.20019
15,287,Lawngtlai,Total Population,117894,29568,25.08016
15,288,Saiha,Total Population,56574,13266,23.44893
16,289,West Tripura,Total Population,1725739,662870,38.41079
16,290,South Tripura,Total Population,876001,292750,33.41891
16,291,Dhalai,Total Population,378230,113100,29.90244
16,292,North Tripura,Total Population,693947,230903,33.27387
17,293,West Garo Hills,Total Population,643291,204731,31.82557
17,294,East Garo Hills,Total Population,317917,49847,15.67925
17,295,South Garo Hills,Total Population,142334,31970,22.46125
17,296,West Khasi Hills,Total Population,383461,103817,27.07368
17,297,Ribhoi,Total Population,258840,60209,23.26109
17,298,East Khasi Hills,Total Population,825922,221486,26.81682
17,299,Jaintia Hills,Total Population,395124,87494,22.14343
18,300,Kokrajhar,Total Population,887142,344466,38.82873
18,301,Dhubri,Total Population,1949258,559275,28.69169
18,302,Goalpara,Total Population,1008183,347643,34.48213
18,303,Barpeta,Total Population,1693622,538496,31.79552
18,304,Morigaon,Total Population,957423,296643,30.98348
18,305,Nagaon,Total Population,2823768,853343,30.22001
18,306,Sonitpur,Total Population,1924110,626632,32.56737
18,307,Lakhimpur,Total Population,1042137,278114,26.68689
18,308,Dhemaji,Total Population,686133,246602,35.94085
18,309,Tinsukia,Total Population,1327929,433963,32.67968
18,310,Dibrugarh,Total Population,1326335,487837,36.78083
18,311,Sivasagar,Total Population,1151050,375881,32.65549
18,312,Jorhat,Total Population,1092256,444220,40.66995
18,313,Golaghat,Total Population,1066888,355364,33.30846
18,314,Karbi Anglong,Total Population,956313,266880,27.90718
18,315,Dima Hasao,Total Population,214102,83095,38.81094
18,316,Cachar,Total Population,1736617,542373,31.23158
18,317,Karimganj,Total Population,1228686,436160,35.49808
18,318,Hailakandi,Total Population,659296,183454,27.82574
18,319,Bongaigaon,Total Population,738804,260443,35.25197
18,320,Chirang,Total Population,482162,199514,41.37904
18,321,Kamrup,Total Population,1517542,505920,33.33812
18,322,Kamrup Metropolitan,Total Population,1253938,719277,57.36145
18,323,Nalbari,Total Population,771639,288170,37.34518
18,324,Baksa,Total Population,950075,401887,42.30056
18,325,Darrang,Total Population,928500,295794,31.85719
18,326,Udalguri,Total Population,831668,272788,32.80011
19,327,Darjiling,Total Population,1846823,665211,36.01921
19,328,Jalpaiguri,Total Population,3872846,1416895,36.58537
19,329,Koch Bihar,Total Population,2819086,955274,33.88595
19,330,Uttar Dinajpur,Total Population,3007134,851323,28.31011
19,331,Dakshin Dinajpur,Total Population,1676276,578438,34.50732
19,332,Maldah,Total Population,3988845,1192419,29.89384
19,333,Murshidabad,Total Population,7103807,2235468,31.46859
19,334,Birbhum,Total Population,3502404,1192589,34.05058
19,335,Barddhaman,Total Population,7717563,3286842,42.58912
19,336,Nadia,Total Population,5167600,2200187,42.57657
19,337,North Twenty Four Parganas,Total Population,10009781,4884630,48.79857
19,338,Hugli,Total Population,5519145,2579354,46.73467
19,339,Bankura,Total Population,3596674,1334084,37.09216
19,340,Puruliya,Total Population,2930115,921486,31.4488
19,341,Haora,Total Population,4850029,1845731,38.05608
19,342,Kolkata,Total Population,4496694,837138,18.61674
19,343,South Twenty Four Parganas,Total Population,8161961,2937525,35.99043
19,344,Paschim Medinipur,Total Population,5913457,1933412,32.69512
19,345,Purba Medinipur,Total Population,5095875,1600466,31.40709
20,346,Garhwa,Total Population,1322784,347021,26.23414
20,347,Chatra,Total Population,1042886,268520,25.74778
20,348,Kodarma,Total Population,716259,200807,28.03553
20,349,Giridih,Total Population,2445474,647405,26.4736
20,350,Deoghar,Total Population,1492073,417110,27.95507
20,351,Godda,Total Population,1313551,343740,26.16876
20,352,Sahibganj,Total Population,1150567,273226,23.74707
20,353,Pakur,Total Population,900422,222685,24.73118
20,354,Dhanbad,Total Population,2684487,908132,33.82888
20,355,Bokaro,Total Population,2062330,729514,35.37329
20,356,Lohardaga,Total Population,461790,122325,26.48931
20,357,Purbi Singhbhum,Total Population,2293919,766619,33.41962
20,358,Palamu,Total Population,1939869,530391,27.34159
20,359,Latehar,Total Population,726978,184732,25.41095
20,360,Hazaribagh,Total Population,1734495,508618,29.32369
20,361,Ramgarh,Total Population,949443,291891,30.74339
20,362,Dumka,Total Population,1321442,381895,28.89987
20,363,Jamtara,Total Population,791042,222894,28.17726
20,364,Ranchi,Total Population,2914253,1007159,34.55977
20,365,Khunti,Total Population,531885,146205,27.48808
20,366,Gumla,Total Population,1025213,273545,26.68177
20,367,Simdega,Total Population,599578,152644,25.45857
20,368,Pashchimi Singhbhum,Total Population,1502338,362827,24.15082
20,369,Saraikela-Kharsawan,Total Population,1065056,349797,32.84306
21,370,Bargarh,Total Population,1481255,468364,31.6194
21,371,Jharsuguda,Total Population,579505,266325,45.95733
21,372,Sambalpur,Total Population,1041099,463438,44.51431
21,373,Debagarh,Total Population,312520,127119,40.67548
21,374,Sundargarh,Total Population,2093437,812835,38.82777
21,375,Kendujhar,Total Population,1801733,590355,32.76595
21,376,Mayurbhanj,Total Population,2519738,876743,34.79501
21,377,Baleshwar,Total Population,2320529,733506,31.60943
21,378,Bhadrak,Total Population,1506337,471862,31.32513
21,379,Kendrapara,Total Population,1440361,483670,33.57978
21,380,Jagatsinghapur,Total Population,1136971,417241,36.69759
21,381,Cuttack,Total Population,2624470,976413,37.2042
21,382,Jajapur,Total Population,1827192,607238,33.2334
21,383,Dhenkanal,Total Population,1192811,417229,34.97863
21,384,Anugul,Total Population,1273821,514134,40.36156
21,385,Nayagarh,Total Population,962789,347234,36.06543
21,386,Khordha,Total Population,2251673,1155564,51.32024
21,387,Puri,Total Population,1698730,571191,33.62459
21,388,Ganjam,Total Population,3529031,1337233,37.89236
21,389,Gajapati,Total Population,577817,213758,36.99407
21,390,Kandhamal,Total Population,733110,280571,38.27134
21,391,Baudh,Total Population,441162,165957,37.61815
21,392,Subarnapur,Total Population,610183,209414,34.31987
21,393,Balangir,Total Population,1648997,605269,36.70528
21,394,Nuapada,Total Population,610382,223761,36.65917
21,395,Kalahandi,Total Population,1576869,556514,35.29234
21,396,Rayagada,Total Population,967911,377195,38.97001
21,397,Nabarangapur,Total Population,1220946,432446,35.41893
21,398,Koraput,Total Population,1379647,496125,35.96029
21,399,Malkangiri,Total Population,613192,223089,36.38159
22,400,Koriya,Total Population,658917,232188,35.23782
22,401,Surguja,Total Population,2359886,740274,31.36906
22,402,Jashpur,Total Population,851669,263268,30.91201
22,403,Raigarh,Total Population,1493984,525990,35.2072
22,404,Korba,Total Population,1206640,460499,38.16374
22,405,Janjgir - Champa,Total Population,1619707,516704,31.90108
22,406,Bilaspur,Total Population,2663629,890131,33.41798
22,407,Kabeerdham,Total Population,822526,253490,30.81848
22,408,Rajnandgaon,Total Population,1537133,536504,34.9029
22,409,Durg,Total Population,3343872,1336789,39.97728
22,410,Raipur,Total Population,4063872,1560026,38.38768
22,411,Mahasamund,Total Population,1032754,366427,35.48057
22,412,Dhamtari,Total Population,799781,283181,35.40732
22,413,Uttar Bastar Kanker,Total Population,748941,251671,33.60358
22,414,Bastar,Total Population,1413199,399920,28.29892
22,415,Narayanpur,Total Population,139820,38206,27.32513
22,416,Dakshin Bastar Dantewada,Total Population,533638,155361,29.11356
22,417,Bijapur,Total Population,255230,77446,30.34361
23,418,Sheopur,Total Population,687861,199335,28.97897
23,419,Morena,Total Population,1965970,618833,31.47724
23,420,Bhind,Total Population,1703005,528592,31.03878
23,421,Gwalior,Total Population,2032036,677657,33.34867
23,422,Datia,Total Population,786754,243915,31.0027
23,423,Shivpuri,Total Population,1726050,521933,30.23858
23,424,Tikamgarh,Total Population,1445166,419009,28.99383
23,425,Chhatarpur,Total Population,1762375,537861,30.5191
23,426,Panna,Total Population,1016520,298851,29.39942
23,427,Sagar,Total Population,2378458,753370,31.67472
23,428,Damoh,Total Population,1264219,410298,32.45466
23,429,Satna,Total Population,2228935,742865,33.32825
23,430,Rewa,Total Population,2365106,720585,30.46734
23,431,Umaria,Total Population,644758,211972,32.87621
23,432,Neemuch,Total Population,826067,317344,38.41625
23,433,Mandsaur,Total Population,1340411,506307,37.77252
23,434,Ratlam,Total Population,1455069,523922,36.00668
23,435,Ujjain,Total Population,1986864,800500,40.28962
23,436,Shajapur,Total Population,1512681,546373,36.11951
23,437,Dewas,Total Population,1563715,626496,40.06459
23,438,Dhar,Total Population,2185793,796594,36.44416
23,439,Indore,Total Population,3276697,1417889,43.2719
23,440,Khargone (West Nimar),Total Population,1873046,654245,34.92947
23,441,Barwani,Total Population,1385881,419251,30.25159
23,442,Rajgarh,Total Population,1545814,487030,31.50638
23,443,Vidisha,Total Population,1458875,467440,32.04113
23,444,Bhopal,Total Population,2371061,1069428,45.10335
23,445,Sehore,Total Population,1311332,456474,34.80995
23,446,Raisen,Total Population,1331597,462577,34.73851
23,447,Betul,Total Population,1575362,524159,33.27229
23,448,Harda,Total Population,570465,233150,40.87017
23,449,Hoshangabad,Total Population,1241350,466879,37.61059
23,450,Katni,Total Population,1292042,431926,33.42972
23,451,Jabalpur,Total Population,2463289,812736,32.99394
23,452,Narsimhapur,Total Population,1091854,390255,35.74242
23,453,Dindori,Total Population,704524,204077,28.96665
23,454,Mandla,Total Population,1054905,333784,31.64114
23,455,Chhindwara,Total Population,2090922,700563,33.50498
23,456,Seoni,Total Population,1379131,471388,34.18007
23,457,Balaghat,Total Population,1701698,567509,33.34957
23,458,Guna,Total Population,1241519,391643,31.54547
23,459,Ashoknagar,Total Population,845071,258533,30.59305
23,460,Shahdol,Total Population,1066063,348864,32.72452
23,461,Anuppur,Total Population,749237,255967,34.16369
23,462,Sidhi,Total Population,1127033,327762,29.08185
23,463,Singrauli,Total Population,1178273,367033,31.15008
23,464,Jhabua,Total Population,1025048,319500,31.16927
23,465,Alirajpur,Total Population,728999,179780,24.66121
23,466,Khandwa (East Nimar),Total Population,1310061,472046,36.03237
23,467,Burhanpur,Total Population,757847,240619,31.75034
24,468,Kachchh,Total Population,2092371,998173,47.70535
24,469,Banas Kantha,Total Population,3120506,1002885,32.13854
24,470,Patan,Total Population,1343734,494942,36.83333
24,471,Mahesana,Total Population,2035064,904561,44.44877
24,472,Sabar Kantha,Total Population,2428589,859087,35.37391
24,473,Gandhinagar,Total Population,1391753,760006,54.60782
24,474,Ahmadabad,Total Population,7214225,3246537,45.00188
24,475,Surendranagar,Total Population,1756268,682657,38.86975
24,476,Rajkot,Total Population,3804558,1828255,48.05433
24,477,Jamnagar,Total Population,2160119,902659,41.78747
24,478,Porbandar,Total Population,585449,255749,43.68425
24,479,Junagadh,Total Population,2743082,1193539,43.51088
24,480,Amreli,Total Population,1514190,649912,42.92143
24,481,Bhavnagar,Total Population,2880365,1121025,38.91955
24,482,Anand,Total Population,2092745,1048550,50.10405
24,483,Kheda,Total Population,2299885,990850,43.08259
24,484,Panch Mahals,Total Population,2390776,742287,31.04795
24,485,Dohad,Total Population,2127086,560837,26.36645
24,486,Vadodara,Total Population,4165626,1979053,47.50914
24,487,Narmada,Total Population,590297,208822,35.37575
24,488,Bharuch,Total Population,1551019,818847,52.79413
24,489,The Dangs,Total Population,228291,72420,31.72267
24,490,Navsari,Total Population,1329672,688321,51.76623
24,491,Valsad,Total Population,1705678,820773,48.12004
24,492,Surat,Total Population,6081322,3791230,62.3422
24,493,Tapi,Total Population,807022,276309,34.2381
25,494,Diu,Total Population,52074,5066,9.728463
25,495,Daman,Total Population,191173,143526,75.0765
26,496,Dadra & Nagar Haveli,Total Population,343709,188057,54.71402
27,497,Nandurbar,Total Population,1648295,658747,39.96536
27,498,Dhule,Total Population,2050862,1055137,51.44846
27,499,Jalgaon,Total Population,4229917,2268100,53.62044
27,500,Buldana,Total Population,2586258,1187626,45.92063
27,501,Akola,Total Population,1813906,793721,43.75756
27,502,Washim,Total Population,1197160,493898,41.25581
27,503,Amravati,Total Population,2888445,1263301,43.73637
27,504,Wardha,Total Population,1300774,781501,60.07969
27,505,Nagpur,Total Population,4653570,2114895,45.44672
27,506,Bhandara,Total Population,1200334,521793,43.47065
27,507,Gondiya,Total Population,1322507,526833,39.83593
27,508,Gadchiroli,Total Population,1072942,520849,48.544
27,509,Chandrapur,Total Population,2204307,1173917,53.2556
27,510,Yavatmal,Total Population,2772348,1240500,44.74546
