,District,State,LokSabhaConstituency,Constituency,No,Type,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,PartyShort
37,Kadapa,ANDHRA PRADESH,KADAPA,KADAPA,38.0,GEN,Y.S. Avinash Reddy,Yuvajana Sramika Rythu Congress Party,1550579.0,1200662.0,77.4 %,190323.0,15.9%,YSRCP
38,Kadapa,ANDHRA PRADESH,RAJAMPET,RAJAMPET,41.0,GEN,P.V.Midhun Reddy,Yuvajana Sramika Rythu Congress Party,1487498.0,1158317.0,77.9 %,174762.0,15.1%,YSRCP
39,Changlang,ARUNACHAL PRADESH,ARUNACHAL EAST,ARUNACHAL EAST,2.0,GEN,Ninong Ering,Indian National Congress,312872.0,261291.0,83.5 %,12478.0,4.8%,INC
40,Dibang Valley,ARUNACHAL PRADESH,ARUNACHAL EAST,ARUNACHAL EAST,2.0,GEN,Ninong Ering,Indian National Congress,312872.0,261291.0,83.5 %,12478.0,4.8%,INC
41,East Kameng,ARUNACHAL PRADESH,ARUNACHAL WEST,ARUNACHAL WEST,1.0,GEN,Kiren Rijiju,Bharatiya Janta Party,446515.0,335665.0,75.2 %,41738.0,12.4%,BJP
42,East Siang,ARUNACHAL PRADESH,ARUNACHAL EAST,ARUNACHAL EAST,2.0,GEN,Ninong Ering,Indian National Congress,312872.0,261291.0,83.5 %,12478.0,4.8%,INC
43,Lohit,ARUNACHAL PRADESH,ARUNACHAL EAST,ARUNACHAL EAST,2.0,GEN,Ninong Ering,Indian National Congress,312872.0,261291.0,83.5 %,12478.0,4.8%,INC
44,Lower Subansiri,ARUNACHAL PRADESH,ARUNACHAL WEST,ARUNACHAL WEST,1.0,GEN,Kiren Rijiju,Bharatiya Janta Party,446515.0,335665.0,75.2 %,41738.0,12.4%,BJP
45,Tawang,ARUNACHAL PRADESH,ARUNACHAL WEST,ARUNACHAL WEST,1.0,GEN,Kiren Rijiju,Bharatiya Janta Party,446515.0,335665.0,75.2 %,41738.0,12.4%,BJP
46,Tirap,ARUNACHAL PRADESH,ARUNACHAL EAST,ARUNACHAL EAST,2.0,GEN,Ninong Ering,Indian National Congress,312872.0,261291.0,83.5 %,12478.0,4.8%,INC
47,Upper Subansiri,ARUNACHAL PRADESH,ARUNACHAL WEST,ARUNACHAL WEST,1.0,GEN,Kiren Rijiju,Bharatiya Janta Party,446515.0,335665.0,75.2 %,41738.0,12.4%,BJP
48,West Kameng,ARUNACHAL PRADESH,ARUNACHAL WEST,ARUNACHAL WEST,1.0,GEN,Kiren Rijiju,Bharatiya Janta Party,446515.0,335665.0,75.2 %,41738.0,12.4%,BJP
49,West Siang,ARUNACHAL PRADESH,ARUNACHAL WEST,ARUNACHAL WEST,1.0,GEN,Kiren Rijiju,Bharatiya Janta Party,446515.0,335665.0,75.2 %,41738.0,12.4%,BJP
50,Barpeta,ASSAM,BARPETA,BARPETA,6.0,GEN,Siraj Uddin Ajmal,All India United Democratic Front,1430175.0,1205863.0,84.3 %,42341.0,3.5%,AIUDF
51,Barpeta,ASSAM,KOKRAJHAR,KOKRAJHAR,5.0,ST,Naba Kumar Sarania (HIRA),Independent,1505476.0,1223869.0,81.3 %,355779.0,29.1%,Ind
52,Bongaigaon,ASSAM,BARPETA,BARPETA,6.0,GEN,Siraj Uddin Ajmal,All India United Democratic Front,1430175.0,1205863.0,84.3 %,42341.0,3.5%,AIUDF
53,Bongaigaon,ASSAM,KOKRAJHAR,KOKRAJHAR,5.0,ST,Naba Kumar Sarania (HIRA),Independent,1505476.0,1223869.0,81.3 %,355779.0,29.1%,Ind
54,Cachar,ASSAM,SILCHAR,SILCHAR,2.0,GEN,Sushmita Dev,Indian National Congress,1060175.0,799830.0,75.4 %,35241.0,4.4%,INC
55,Darrang,ASSAM,MANGALDOI,MANGALDOI,8.0,GEN,Ramen Deka,Bharatiya Janta Party,1515676.0,1233237.0,81.4 %,22884.0,1.9%,BJP
56,Dhemaji,ASSAM,LAKHIMPUR,LAKHIMPUR,14.0,GEN,Sarbananda Sonowal,Bharatiya Janta Party,1430994.0,1111975.0,77.7 %,292138.0,26.3%,BJP
57,Dhubri,ASSAM,DHUBRI,DHUBRI,4.0,GEN,Badruddin Ajmal,All India United Democratic Front,1552554.0,1369624.0,88.2 %,229730.0,16.8%,AIUDF
58,Dibrugarh,ASSAM,DIBRUGARH,DIBRUGARH,13.0,GEN,Rameswar Teli,Bharatiya Janta Party,1124305.0,890968.0,79.3 %,185347.0,20.8%,BJP
59,Dibrugarh,ASSAM,LAKHIMPUR,LAKHIMPUR,14.0,GEN,Sarbananda Sonowal,Bharatiya Janta Party,1430994.0,1111975.0,77.7 %,292138.0,26.3%,BJP
60,Dima Hasao,ASSAM,AUTONOMOUS DISTRICT,AUTONOMOUS DISTRICT,3.0,ST,Biren Singh Engti,Indian National Congress,701890.0,543280.0,77.4 %,24095.0,4.4%,INC
61,Goalpara,ASSAM,DHUBRI,DHUBRI,4.0,GEN,Badruddin Ajmal,All India United Democratic Front,1552554.0,1369624.0,88.2 %,229730.0,16.8%,AIUDF
62,Goalpara,ASSAM,GAUHATI,GAUHATI,7.0,GEN,Bijoya Chakravarty,Bharatiya Janta Party,1922270.0,1511729.0,78.6 %,315784.0,20.9%,BJP
63,Golaghat,ASSAM,KALIABOR,KALIABOR,11.0,GEN,Gourav Gogoi,Indian National Congress,1457865.0,1166490.0,80.0 %,93874.0,8.0%,INC
64,Hailakandi,ASSAM,KARIMGANJ,KARIMGANJ,1.0,SC,Radheshyam Biswas,All India United Democratic Front,1165997.0,886920.0,76.1 %,102094.0,11.5%,AIUDF
65,Jorhat,ASSAM,JORHAT,JORHAT,12.0,GEN,Kamakhya Prasad Tasa,Bharatiya Janta Party,1234448.0,931336.0,75.5 %,102420.0,11.0%,BJP
66,Jorhat,ASSAM,KALIABOR,KALIABOR,11.0,GEN,Gourav Gogoi,Indian National Congress,1457865.0,1166490.0,80.0 %,93874.0,8.0%,INC
67,Jorhat,ASSAM,LAKHIMPUR,LAKHIMPUR,14.0,GEN,Sarbananda Sonowal,Bharatiya Janta Party,1430994.0,1111975.0,77.7 %,292138.0,26.3%,BJP
68,Kamrup,ASSAM,GAUHATI,GAUHATI,7.0,GEN,Bijoya Chakravarty,Bharatiya Janta Party,1922270.0,1511729.0,78.6 %,315784.0,20.9%,BJP
69,Kamrup,ASSAM,MANGALDOI,MANGALDOI,8.0,GEN,Ramen Deka,Bharatiya Janta Party,1515676.0,1233237.0,81.4 %,22884.0,1.9%,BJP
70,Kamrup Metropolitan,ASSAM,GAUHATI,GAUHATI,7.0,GEN,Bijoya Chakravarty,Bharatiya Janta Party,1922270.0,1511729.0,78.6 %,315784.0,20.9%,BJP
71,Karbi Anglong,ASSAM,AUTONOMOUS DISTRICT,AUTONOMOUS DISTRICT,3.0,ST,Biren Singh Engti,Indian National Congress,701890.0,543280.0,77.4 %,24095.0,4.4%,INC
72,Karimganj,ASSAM,KARIMGANJ,KARIMGANJ,1.0,SC,Radheshyam Biswas,All India United Democratic Front,1165997.0,886920.0,76.1 %,102094.0,11.5%,AIUDF
73,Kokrajhar,ASSAM,KOKRAJHAR,KOKRAJHAR,5.0,ST,Naba Kumar Sarania (HIRA),Independent,1505476.0,1223869.0,81.3 %,355779.0,29.1%,Ind
74,Lakhimpur,ASSAM,LAKHIMPUR,LAKHIMPUR,14.0,GEN,Sarbananda Sonowal,Bharatiya Janta Party,1430994.0,1111975.0,77.7 %,292138.0,26.3%,BJP
75,Lakhimpur,ASSAM,TEZPUR,TEZPUR,9.0,GEN,Ram Prasad Sarmah,Bharatiya Janta Party,1259568.0,980688.0,77.9 %,86020.0,8.8%,BJP
76,Morigaon,ASSAM,NOWGONG,NOWGONG,10.0,GEN,Rajen Gohain,Bharatiya Janta Party,1523881.0,1230074.0,80.7 %,143559.0,11.7%,BJP
77,Nagaon,ASSAM,KALIABOR,KALIABOR,11.0,GEN,Gourav Gogoi,Indian National Congress,1457865.0,1166490.0,80.0 %,93874.0,8.0%,INC
78,Nagaon,ASSAM,NOWGONG,NOWGONG,10.0,GEN,Rajen Gohain,Bharatiya Janta Party,1523881.0,1230074.0,80.7 %,143559.0,11.7%,BJP
79,Nalbari,ASSAM,BARPETA,BARPETA,6.0,GEN,Siraj Uddin Ajmal,All India United Democratic Front,1430175.0,1205863.0,84.3 %,42341.0,3.5%,AIUDF
80,Nalbari,ASSAM,GAUHATI,GAUHATI,7.0,GEN,Bijoya Chakravarty,Bharatiya Janta Party,1922270.0,1511729.0,78.6 %,315784.0,20.9%,BJP
81,Nalbari,ASSAM,KOKRAJHAR,KOKRAJHAR,5.0,ST,Naba Kumar Sarania (HIRA),Independent,1505476.0,1223869.0,81.3 %,355779.0,29.1%,Ind
82,Nalbari,ASSAM,MANGALDOI,MANGALDOI,8.0,GEN,Ramen Deka,Bharatiya Janta Party,1515676.0,1233237.0,81.4 %,22884.0,1.9%,BJP
83,Sivasagar,ASSAM,JORHAT,JORHAT,12.0,GEN,Kamakhya Prasad Tasa,Bharatiya Janta Party,1234448.0,931336.0,75.5 %,102420.0,11.0%,BJP
84,Sonitpur,ASSAM,TEZPUR,TEZPUR,9.0,GEN,Ram Prasad Sarmah,Bharatiya Janta Party,1259568.0,980688.0,77.9 %,86020.0,8.8%,BJP
85,Tinsukia,ASSAM,DIBRUGARH,DIBRUGARH,13.0,GEN,Rameswar Teli,Bharatiya Janta Party,1124305.0,890968.0,79.3 %,185347.0,20.8%,BJP
86,Tinsukia,ASSAM,LAKHIMPUR,LAKHIMPUR,14.0,GEN,Sarbananda Sonowal,Bharatiya Janta Party,1430994.0,1111975.0,77.7 %,292138.0,26.3%,BJP
87,Udalguri,ASSAM,MANGALDOI,MANGALDOI,8.0,GEN,Ramen Deka,Bharatiya Janta Party,1515676.0,1233237.0,81.4 %,22884.0,1.9%,BJP
88,Araria,BIHAR,ARARIA,ARARIA,9.0,GEN,Tasleem Uddin,Rashtriya Janata Dal,1587348.0,975811.0,61.5 %,146504.0,15.0%,RJD
89,Arwal,BIHAR,JAHANABAD,JAHANABAD,36.0,GEN,Dr. Arun Kumar,Rashtriya Lok Samta Party,1423246.0,811516.0,57.0 %,42340.0,5.2%,RLSP
90,Aurangabad,BIHAR,AURANGABAD,AURANGABAD,37.0,GEN,Sushil Kumar Singh,Bharatiya Janta Party,1536153.0,786274.0,51.2 %,66347.0,8.4%,BJP
91,Aurangabad,BIHAR,KARAKAT,KARAKAT,35.0,GEN,Upendra Kushwaha,Rashtriya Lok Samta Party,1569989.0,789927.0,50.3 %,105241.0,13.3%,RLSP
92,Banka,BIHAR,BANKA,BANKA,27.0,GEN,Jai Prakash Narayan Yadav,Rashtriya Janata Dal,1549456.0,899353.0,58.0 %,10144.0,1.1%,RJD
93,Begusarai,BIHAR,BEGUSARAI,BEGUSARAI,24.0,GEN,Bhola Singh,Bharatiya Janta Party,1778759.0,1077855.0,60.6 %,58335.0,5.4%,BJP
94,Bhagalpur,BIHAR,BANKA,BANKA,27.0,GEN,Jai Prakash Narayan Yadav,Rashtriya Janata Dal,1549456.0,899353.0,58.0 %,10144.0,1.1%,RJD
95,Bhagalpur,BIHAR,BHAGALPUR,BHAGALPUR,26.0,GEN,Shailesh Kumar Urph Bulo Mandal,Rashtriya Janata Dal,1685339.0,974016.0,57.8 %,9485.0,1.0%,RJD
96,Bhojpur,BIHAR,ARRAH,ARRAH,32.0,GEN,Raj Kumar Singh,Bharatiya Janta Party,1832332.0,893213.0,48.8 %,135870.0,15.2%,BJP
97,Buxar,BIHAR,BUXAR,BUXAR,33.0,GEN,Ashwini Kumar Choubey,Bharatiya Janta Party,1640567.0,888204.0,54.1 %,132338.0,14.9%,BJP
98,Darbhanga,BIHAR,DARBHANGA,DARBHANGA,14.0,GEN,Kirti Azad,Bharatiya Janta Party,1495446.0,828342.0,55.4 %,35043.0,4.2%,BJP
99,Darbhanga,BIHAR,MADHUBANI,MADHUBANI,6.0,GEN,Hukm Deo Narayan Yadav,Bharatiya Janta Party,1627969.0,860453.0,52.9 %,20535.0,2.4%,BJP
100,Darbhanga,BIHAR,SAMASTIPUR,SAMASTIPUR,23.0,SC,Ram Chandra Paswan,Lok Jan Shakti Party,1503005.0,863199.0,57.4 %,6872.0,0.8%,LJP
101,East Champaran (Motihari),BIHAR,PASCHIM CHAMPARAN,PASCHIM CHAMPARAN,2.0,GEN,Dr. Sanjay Jaiswal,Bharatiya Janta Party,1413073.0,854800.0,60.5 %,110254.0,12.9%,BJP
102,East Champaran (Motihari),BIHAR,PURVI CHAMPARAN,PURVI CHAMPARAN,3.0,GEN,Radha Mohan Singh,Bharatiya Janta Party,1452963.0,822671.0,56.6 %,192163.0,23.4%,BJP
103,East Champaran (Motihari),BIHAR,SHEOHAR,SHEOHAR,4.0,GEN,Rama Devi,Bharatiya Janta Party,1489724.0,842894.0,56.6 %,136239.0,16.2%,BJP
104,Gaya,BIHAR,AURANGABAD,AURANGABAD,37.0,GEN,Sushil Kumar Singh,Bharatiya Janta Party,1536153.0,786274.0,51.2 %,66347.0,8.4%,BJP
105,Gaya,BIHAR,GAYA,GAYA,38.0,SC,Hari Manjhi,Bharatiya Janta Party,1500751.0,809378.0,53.9 %,115504.0,14.3%,BJP
106,Gaya,BIHAR,JAHANABAD,JAHANABAD,36.0,GEN,Dr. Arun Kumar,Rashtriya Lok Samta Party,1423246.0,811516.0,57.0 %,42340.0,5.2%,RLSP
107,Gopalganj,BIHAR,GOPALGANJ,GOPALGANJ,17.0,SC,Janak Ram,Bharatiya Janta Party,1652767.0,903583.0,54.7 %,286936.0,31.8%,BJP
108,Jamui,BIHAR,JAMUI,JAMUI,40.0,SC,Chirag Kumar Paswan,Lok Jan Shakti Party,1550936.0,775639.0,50.0 %,85947.0,11.1%,LJP
109,Jehanabad,BIHAR,JAHANABAD,JAHANABAD,36.0,GEN,Dr. Arun Kumar,Rashtriya Lok Samta Party,1423246.0,811516.0,57.0 %,42340.0,5.2%,RLSP
110,Kaimur,BIHAR,BUXAR,BUXAR,33.0,GEN,Ashwini Kumar Choubey,Bharatiya Janta Party,1640567.0,888204.0,54.1 %,132338.0,14.9%,BJP
111,Kaimur,BIHAR,SASARAM,SASARAM,34.0,SC,Chhedi Paswan,Bharatiya Janta Party,1607747.0,846788.0,52.7 %,63327.0,7.5%,BJP
112,Katihar,BIHAR,KATIHAR,KATIHAR,11.0,GEN,Tariq Anwar,Nationalist Congress Party,1446478.0,977830.0,67.6 %,114740.0,11.7%,NCP
113,Katihar,BIHAR,PURNIA,PURNIA,12.0,GEN,Santosh Kumar,Janata Dal (United),1582967.0,1017732.0,64.3 %,116669.0,11.5%,JDU
114,Khagaria,BIHAR,KHAGARIA,KHAGARIA,25.0,GEN,Choudhary Mahboob Ali Kaiser,Lok Jan Shakti Party,1492068.0,896231.0,60.1 %,76003.0,8.5%,LJP
115,Kishanganj,BIHAR,KISHANGANJ,KISHANGANJ,10.0,GEN,Mohammad Asrarul Haque,Indian National Congress,1438990.0,928490.0,64.5 %,194612.0,21.0%,INC
116,Lakhisarai,BIHAR,MUNGER,MUNGER,28.0,GEN,Veena Devi,Lok Jan Shakti Party,1696546.0,914350.0,53.9 %,109084.0,11.9%,LJP
117,Madhepura,BIHAR,MADHEPURA,MADHEPURA,13.0,GEN,Rajesh Ranjan @ Pappu Yadav,Rashtriya Janata Dal,1725578.0,1034799.0,60.0 %,56209.0,5.4%,RJD
118,Madhepura,BIHAR,SUPAUL,SUPAUL,8.0,GEN,Ranjeet Ranjan,Indian National Congress,1525592.0,970528.0,63.6 %,59672.0,6.1%,INC
119,Madhubani,BIHAR,JHANJHARPUR,JHANJHARPUR,7.0,GEN,Birendra Kumar Chaudhary,Bharatiya Janta Party,1650753.0,941249.0,57.0 %,55408.0,5.9%,BJP
120,Madhubani,BIHAR,MADHUBANI,MADHUBANI,6.0,GEN,Hukm Deo Narayan Yadav,Bharatiya Janta Party,1627969.0,860453.0,52.9 %,20535.0,2.4%,BJP
121,Munger,BIHAR,JAMUI,JAMUI,40.0,SC,Chirag Kumar Paswan,Lok Jan Shakti Party,1550936.0,775639.0,50.0 %,85947.0,11.1%,LJP
122,Munger,BIHAR,MUNGER,MUNGER,28.0,GEN,Veena Devi,Lok Jan Shakti Party,1696546.0,914350.0,53.9 %,109084.0,11.9%,LJP
123,Muzaffarpur,BIHAR,MUZAFFARPUR,MUZAFFARPUR,15.0,GEN,Ajay Nishad,Bharatiya Janta Party,1551363.0,948887.0,61.2 %,222422.0,23.4%,BJP
124,Muzaffarpur,BIHAR,VAISHALI,VAISHALI,16.0,GEN,Rama Kishore Singh,Lok Jan Shakti Party,1587202.0,925937.0,58.3 %,99267.0,10.7%,LJSP
125,Nalanda,BIHAR,NALANDA,NALANDA,29.0,GEN,Kaushlendra Kumar,Janata Dal (United),1951967.0,921761.0,47.2 %,9627.0,1.0%,JDU
126,Nawada,BIHAR,NAWADA,NAWADA,39.0,GEN,Giriraj Singh,Bharatiya Janta Party,1675789.0,884441.0,52.8 %,140157.0,15.8%,BJP
127,Patna,BIHAR,MUNGER,MUNGER,28.0,GEN,Veena Devi,Lok Jan Shakti Party,1696546.0,914350.0,53.9 %,109084.0,11.9%,LJP
128,Patna,BIHAR,PATALIPUTRA,PATALIPUTRA,31.0,GEN,Ram Kripal Yadav,Bharatiya Janta Party,1736074.0,978649.0,56.4 %,40322.0,4.1%,BJP
129,Patna,BIHAR,PATNA SAHIB,PATNA SAHIB,30.0,GEN,Shatrughana Sinha,Bharatiya Janta Party,1946249.0,882262.0,45.3 %,265805.0,30.1%,BJP
130,Purnia,BIHAR,KISHANGANJ,KISHANGANJ,10.0,GEN,Mohammad Asrarul Haque,Indian National Congress,1438990.0,928490.0,64.5 %,194612.0,21.0%,INC
131,Purnia,BIHAR,PURNIA,PURNIA,12.0,GEN,Santosh Kumar,Janata Dal (United),1582967.0,1017732.0,64.3 %,116669.0,11.5%,JDU
132,Rohtas,BIHAR,BUXAR,BUXAR,33.0,GEN,Ashwini Kumar Choubey,Bharatiya Janta Party,1640567.0,888204.0,54.1 %,132338.0,14.9%,BJP
133,Rohtas,BIHAR,KARAKAT,KARAKAT,35.0,GEN,Upendra Kushwaha,Rashtriya Lok Samta Party,1569989.0,789927.0,50.3 %,105241.0,13.3%,RLSP
134,Rohtas,BIHAR,SASARAM,SASARAM,34.0,SC,Chhedi Paswan,Bharatiya Janta Party,1607747.0,846788.0,52.7 %,63327.0,7.5%,BJP
135,Saharsa,BIHAR,KHAGARIA,KHAGARIA,25.0,GEN,Choudhary Mahboob Ali Kaiser,Lok Jan Shakti Party,1492068.0,896231.0,60.1 %,76003.0,8.5%,LJP
136,Saharsa,BIHAR,MADHEPURA,MADHEPURA,13.0,GEN,Rajesh Ranjan @ Pappu Yadav,Rashtriya Janata Dal,1725578.0,1034799.0,60.0 %,56209.0,5.4%,RJD
137,Samastipur,BIHAR,KHAGARIA,KHAGARIA,25.0,GEN,Choudhary Mahboob Ali Kaiser,Lok Jan Shakti Party,1492068.0,896231.0,60.1 %,76003.0,8.5%,LJP
138,Samastipur,BIHAR,SAMASTIPUR,SAMASTIPUR,23.0,SC,Ram Chandra Paswan,Lok Jan Shakti Party,1503005.0,863199.0,57.4 %,6872.0,0.8%,LJP
139,Samastipur,BIHAR,UJIARPUR,UJIARPUR,22.0,GEN,Nityanand Rai,Bharatiya Janta Party,1428445.0,858920.0,60.1 %,60469.0,7.0%,BJP
140,Saran,BIHAR,MAHARAJGANJ,MAHARAJGANJ,19.0,GEN,Janardan Singh Sigriwal,Bharatiya Janta Party,1644524.0,846654.0,51.5 %,38415.0,4.5%,BJP
141,Saran,BIHAR,SARAN,SARAN,20.0,GEN,Rajiv Pratap Rudy,Bharatiya Janta Party,1538744.0,863254.0,56.1 %,40948.0,4.7%,BJP
